CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Spending_Ratio,Avg_Transaction_Amt
708508758,Attrited Customer,62,0,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0.99616,0.0038363,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.4811235486338038,43.25
708300483,Attrited Customer,66,0,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0.9978,0.00219708,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.08931743212382644,44.0
779471883,Attrited Customer,54,1,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0.99028,0.00972,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.4901619968017799,37.10526315789474
714374133,Attrited Customer,56,2,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0.99671,0.00329379,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.038176168431733146,40.13333333333333
712030833,Attrited Customer,48,2,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,0.99823,0.00177065,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.02001970100822807,46.06666666666667
711013983,Attrited Customer,55,4,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,0.99763,0.00236635,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.2849860982391103,51.25
711887583,Attrited Customer,47,2,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,0.997,0.00299743,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.15342264635712974,46.44444444444444
720201033,Attrited Customer,53,2,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,0.99447,0.00553,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.06170194532522067,31.304347826086957
789322833,Attrited Customer,48,5,38,1,3,3,8025.0,0,8025.0,0.654,673,18,0.8,0.0,0.99672,0.00328187,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.08386292834890965,37.388888888888886
767712558,Attrited Customer,59,1,53,2,3,3,14979.0,0,14979.0,0.71,530,10,1.0,0.0,0.99639,0.00360825,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.03538286935042393,53.0
712950783,Attrited Customer,48,4,38,3,2,3,2732.0,0,2732.0,0.76,739,16,0.455,0.0,0.99518,0.00481999,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.270497803806735,46.1875
713741358,Attrited Customer,46,5,33,6,3,3,32975.0,2517,30458.0,0.658,597,17,0.7,0.076,0.99681,0.00319072,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.01810462471569371,35.11764705882353
